"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"C-SGD";58.684;0.0299;0.1457;0.0096;0.5137;"Train";7
"B-SGD";32.458;0.0289;0.1455;0.0101;0.4339;"Train";7
"glmPCA";586.474;0.0368;0.4951;0.0229;-0.0266;"Test";7
"NBWaVE";214.947;0.0338;0.4946;0.0138;0.5309;"Test";7
"CMF";470.34;0.0333;0.4947;0.0298;0.216;"Test";7
"NMF";558.688;0.0341;0.4945;0.0231;0.1267;"Test";7
"NNLM";197.113;0.032;0.4948;0.0163;0.1877;"Test";7
"AIRWLS";223.19;0.0319;0.4946;0.0174;0.4911;"Test";7
"Newton";109.97;0.0319;0.4946;0.0208;0.4953;"Test";7
"C-SGD";58.684;0.0327;0.4947;0.0131;0.5137;"Test";7
"B-SGD";32.458;0.0343;0.4948;0.0124;0.4339;"Test";7
"glmPCA";57.771;0.0369;0.009;0.0194;-0.0182;"Full";8
"NBWaVE";209.642;0.0314;0.0076;0.0128;0.4931;"Full";8
"CMF";475.339;0.0333;0.0082;0.0149;0.0586;"Full";8
"NMF";559.122;0.034;0.0083;0.0133;0.0402;"Full";8
"NNLM";196.702;0.0321;0.0079;0.0106;0.1132;"Full";8
"AIRWLS";222.263;0.0318;0.0078;0.0112;0.493;"Full";8
"Newton";105.181;0.0319;0.0078;0.0123;0.4995;"Full";8
"C-SGD";59.099;0.0313;0.0077;0.0109;0.5059;"Full";8
"B-SGD";33.342;0.031;0.0076;0.0111;0.3521;"Full";8
"glmPCA";57.771;0.0369;0.1472;0.0192;-0.0182;"Train";8
"NBWaVE";209.642;0.0304;0.1459;0.0125;0.4931;"Train";8
"CMF";475.339;0.0331;0.1463;0.0095;0.0586;"Train";8
"NMF";559.122;0.0338;0.1466;0.0109;0.0402;"Train";8
"NNLM";196.702;0.0319;0.1461;0.0093;0.1132;"Train";8
"AIRWLS";222.263;0.0316;0.1461;0.0087;0.493;"Train";8
"Newton";105.181;0.0316;0.1461;0.0086;0.4995;"Train";8
"C-SGD";59.099;0.0305;0.1459;0.0101;0.5059;"Train";8
"B-SGD";33.342;0.0296;0.1457;0.0106;0.3521;"Train";8
"glmPCA";57.771;0.0369;0.4952;0.0198;-0.0182;"Test";8
"NBWaVE";209.642;0.0342;0.4948;0.0135;0.4931;"Test";8
"CMF";475.339;0.034;0.4951;0.0302;0.0586;"Test";8
"NMF";559.122;0.0344;0.4947;0.0201;0.0402;"Test";8
"NNLM";196.702;0.0326;0.4949;0.0142;0.1132;"Test";8
"AIRWLS";222.263;0.0325;0.4948;0.0183;0.493;"Test";8
"Newton";105.181;0.0326;0.4947;0.0227;0.4995;"Test";8
"C-SGD";59.099;0.0333;0.4948;0.0133;0.5059;"Test";8
"B-SGD";33.342;0.0351;0.495;0.0127;0.3521;"Test";8
"glmPCA";593.156;0.0328;0.0086;0.0202;-0.0212;"Full";9
"NBWaVE";251.796;0.0281;0.0074;0.0131;0.5543;"Full";9
"CMF";460.749;0.0294;0.0077;0.0146;0.0581;"Full";9
