"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"CMF";353.006;0.0488;0.1491;0.0214;0.0909;"Train";5
"NMF";481.451;0.0497;0.1493;0.0227;-0.0178;"Train";5
"NNLM";276.429;0.0477;0.1489;0.0207;0.0637;"Train";5
"AIRWLS";191.284;0.0465;0.1487;0.0189;0.4541;"Train";5
"Newton";149.147;0.0465;0.1487;0.0189;0.4212;"Train";5
"C-SGD";66.868;0.0464;0.1487;0.0196;0.49;"Train";5
"B-SGD";43.412;0.0457;0.1486;0.0198;0.4671;"Train";5
"glmPCA";1235.202;0.0532;0.497;0.0284;-0.0177;"Test";5
"NBWaVE";220.178;0.0484;0.4964;0.0214;0.4243;"Test";5
"CMF";353.006;0.049;0.4966;0.0239;0.0909;"Test";5
"NMF";481.451;0.0498;0.4966;0.0239;-0.0178;"Test";5
"NNLM";276.429;0.048;0.4964;0.0219;0.0637;"Test";5
"AIRWLS";191.284;0.0467;0.4963;0.0203;0.4541;"Test";5
"Newton";149.147;0.0467;0.4963;0.0204;0.4212;"Test";5
"C-SGD";66.868;0.0469;0.4963;0.0203;0.49;"Test";5
"B-SGD";43.412;0.0464;0.4963;0.0204;0.4671;"Test";5
"glmPCA";1203.699;0.0476;0.0144;0.0248;-0.0188;"Full";6
"NBWaVE";203.296;0.0436;0.0132;0.0186;0.4514;"Full";6
"CMF";348.352;0.0439;0.0133;0.0183;0.0456;"Full";6
"NMF";NA;NA;NA;NA;NA;"Full";6
"NNLM";275.723;0.0434;0.0132;0.0177;-0.0137;"Full";6
"AIRWLS";238.924;0.0426;0.0129;0.017;0.5036;"Full";6
"Newton";163.744;0.0426;0.0129;0.017;0.4533;"Full";6
"C-SGD";66.381;0.0425;0.0129;0.0174;0.4305;"Full";6
"B-SGD";42.994;0.0418;0.0128;0.0174;0.4406;"Full";6
"glmPCA";1203.699;0.0476;0.1516;0.0247;-0.0188;"Train";6
"NBWaVE";203.296;0.0434;0.1506;0.0185;0.4514;"Train";6
"CMF";348.352;0.0439;0.1507;0.0178;0.0456;"Train";6
"NMF";NA;NA;NA;NA;NA;"Train";6
"NNLM";275.723;0.0434;0.1506;0.0175;-0.0137;"Train";6
"AIRWLS";238.924;0.0426;0.1504;0.0165;0.5036;"Train";6
"Newton";163.744;0.0425;0.1504;0.0165;0.4533;"Train";6
