"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"NMF";221.677;0.0352;0.4943;0.0204;0.056;"Test";6
"NNLM";117.207;0.0325;0.4943;0.0131;0.0554;"Test";6
"AIRWLS";163.51;0.0323;0.4942;0.0154;0.5942;"Test";6
"Newton";88.56;0.0323;0.4942;0.0174;0.5904;"Test";6
"C-SGD";50.99;0.0329;0.4943;0.0125;0.5771;"Test";6
"B-SGD";27.21;0.034;0.4943;0.0124;0.5357;"Test";6
"glmPCA";512.603;0.0373;0.0079;0.0212;-0.017;"Full";7
"NBWaVE";144.74;0.0316;0.0067;0.0136;0.5641;"Full";7
"CMF";254.328;0.0331;0.007;Inf;0.17;"Full";7
"NMF";367.941;0.034;0.0072;0.0145;0.0744;"Full";7
"NNLM";139.848;0.0314;0.0067;0.0115;0.129;"Full";7
"AIRWLS";166.322;0.0312;0.0066;0.0117;0.5406;"Full";7
"Newton";89.416;0.0312;0.0066;0.0123;0.5508;"Full";7
"C-SGD";51.801;0.0308;0.0066;0.0117;0.5184;"Full";7
"B-SGD";27.188;0.0307;0.0065;0.0119;0.4484;"Full";7
"glmPCA";512.603;0.0373;0.1463;0.021;-0.017;"Train";7
"NBWaVE";144.74;0.031;0.1452;0.0133;0.5641;"Train";7
"CMF";254.328;0.0329;0.1455;Inf;0.17;"Train";7
"NMF";367.941;0.0339;0.1458;0.0127;0.0744;"Train";7
"NNLM";139.848;0.0313;0.1452;0.0106;0.129;"Train";7
"AIRWLS";166.322;0.0311;0.1452;0.0099;0.5406;"Train";7
"Newton";89.416;0.0311;0.1452;0.0099;0.5508;"Train";7
"C-SGD";51.801;0.0303;0.1451;0.0111;0.5184;"Train";7
"B-SGD";27.188;0.0297;0.145;0.0115;0.4484;"Train";7
"glmPCA";512.603;0.0373;0.4945;0.0216;-0.017;"Test";7
"NBWaVE";144.74;0.0334;0.494;0.0142;0.5641;"Test";7
"CMF";254.328;0.0336;0.4942;Inf;0.17;"Test";7
"NMF";367.941;0.0343;0.494;0.0194;0.0744;"Test";7
"NNLM";139.848;0.0318;0.494;0.0138;0.129;"Test";7
"AIRWLS";166.322;0.0317;0.494;0.017;0.5406;"Test";7
"Newton";89.416;0.0317;0.4939;0.019;0.5508;"Test";7
"C-SGD";51.801;0.0321;0.494;0.0133;0.5184;"Test";7
"B-SGD";27.188;0.0335;0.494;0.0131;0.4484;"Test";7
"glmPCA";505.656;0.037;0.008;0.0215;-0.0332;"Full";8
"NBWaVE";159.549;0.0316;0.0069;0.0148;0.5519;"Full";8
"CMF";267.433;0.0327;0.0071;0.0148;0.0816;"Full";8
"NMF";370.177;0.0337;0.0073;0.0154;0.067;"Full";8
"NNLM";135.911;0.0317;0.0069;0.0128;-0.0031;"Full";8
"AIRWLS";162.089;0.0314;0.0069;0.0129;0.5184;"Full";8
"Newton";90.92;0.0314;0.0069;0.0133;0.5402;"Full";8
"C-SGD";51.007;0.031;0.0068;0.0129;0.5076;"Full";8
"B-SGD";27.708;0.0307;0.0067;0.0132;0.4299;"Full";8
"glmPCA";505.656;0.0369;0.1459;0.0214;-0.0332;"Train";8
"NBWaVE";159.549;0.0309;0.1448;0.0145;0.5519;"Train";8
"CMF";267.433;0.0325;0.1451;0.0123;0.0816;"Train";8
