"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"NBWaVE";113.984;0.0388;0.4957;0.0176;0.3267;"Test";6
"CMF";210.417;0.0386;0.4957;0.0188;0.1719;"Test";6
"NMF";274.791;0.0396;0.4957;0.0196;0.0533;"Test";6
"NNLM";152.456;0.0379;0.4957;0.0168;0.0421;"Test";6
"AIRWLS";167.878;0.0375;0.4956;0.0177;0.385;"Test";6
"Newton";101.922;0.0374;0.4956;0.0178;0.454;"Test";6
"C-SGD";43.991;0.0374;0.4956;0.0164;0.4137;"Test";6
"B-SGD";26.877;0.0374;0.4956;0.0163;0.3486;"Test";6
"glmPCA";629.754;0.0433;0.0099;0.0269;-0.0184;"Full";7
"NBWaVE";120.013;0.0388;0.0089;0.0189;0.4872;"Full";7
"CMF";202.951;0.0397;0.0091;0.02;0.0273;"Full";7
"NMF";200.335;0.0405;0.0093;0.0208;0.0113;"Full";7
"NNLM";152.445;0.0385;0.0089;0.0181;0.0379;"Full";7
"AIRWLS";131.954;0.0378;0.0087;0.017;0.4452;"Full";7
"Newton";80.757;0.0377;0.0087;0.017;0.4877;"Full";7
"C-SGD";44.427;0.0376;0.0087;0.0175;0.4049;"Full";7
"B-SGD";27.098;0.0373;0.0086;0.0175;0.3898;"Full";7
"glmPCA";629.754;0.0434;0.1478;0.0268;-0.0184;"Train";7
"NBWaVE";120.013;0.0387;0.1469;0.0187;0.4872;"Train";7
"CMF";202.951;0.0397;0.1471;0.0188;0.0273;"Train";7
"NMF";200.335;0.0405;0.1472;0.0202;0.0113;"Train";7
"NNLM";152.445;0.0385;0.1468;0.0177;0.0379;"Train";7
"AIRWLS";131.954;0.0378;0.1467;0.0164;0.4452;"Train";7
"Newton";80.757;0.0377;0.1467;0.0164;0.4877;"Train";7
"C-SGD";44.427;0.0375;0.1467;0.0172;0.4049;"Train";7
"B-SGD";27.098;0.0371;0.1466;0.0173;0.3898;"Train";7
"glmPCA";629.754;0.0432;0.496;0.0271;-0.0184;"Test";7
"NBWaVE";120.013;0.0392;0.4955;0.0193;0.4872;"Test";7
"CMF";202.951;0.0396;0.4957;0.0235;0.0273;"Test";7
"NMF";200.335;0.0404;0.4957;0.0226;0.0113;"Test";7
"NNLM";152.445;0.0385;0.4956;0.0192;0.0379;"Test";7
"AIRWLS";131.954;0.0378;0.4955;0.0187;0.4452;"Test";7
"Newton";80.757;0.0378;0.4955;0.0189;0.4877;"Test";7
"C-SGD";44.427;0.0379;0.4955;0.0182;0.4049;"Test";7
"B-SGD";27.098;0.0379;0.4955;0.0181;0.3898;"Test";7
"glmPCA";670.513;0.0446;0.0095;0.0263;-0.0284;"Full";8
"NBWaVE";121.764;0.0398;0.0085;0.0181;0.4915;"Full";8
"CMF";206.578;0.041;0.0088;Inf;0.1415;"Full";8
"NMF";274.935;0.042;0.009;0.0207;0.1408;"Full";8
"NNLM";152.5;0.0395;0.0085;0.0177;0.0466;"Full";8
"AIRWLS";122.275;0.0386;0.0083;0.0161;0.5009;"Full";8
"Newton";78.696;0.0386;0.0083;0.0162;0.4895;"Full";8
"C-SGD";43.882;0.0384;0.0083;0.0167;0.3618;"Full";8
"B-SGD";26.355;0.038;0.0082;0.0168;0.3721;"Full";8
"glmPCA";670.513;0.0446;0.1474;0.0262;-0.0284;"Train";8
"NBWaVE";121.764;0.0396;0.1465;0.018;0.4915;"Train";8
"CMF";206.578;0.0407;0.1467;0.018;0.1415;"Train";8
"NMF";274.935;0.042;0.1469;0.0197;0.1408;"Train";8
"NNLM";152.5;0.0394;0.1465;0.0171;0.0466;"Train";8
"AIRWLS";122.275;0.0385;0.1463;0.0156;0.5009;"Train";8
"Newton";78.696;0.0385;0.1463;0.0156;0.4895;"Train";8
"C-SGD";43.882;0.0382;0.1463;0.0165;0.3618;"Train";8
"B-SGD";26.355;0.0378;0.1462;0.0166;0.3721;"Train";8
"glmPCA";670.513;0.0446;0.4959;0.0267;-0.0284;"Test";8
"NBWaVE";121.764;0.0402;0.4954;0.0187;0.4915;"Test";8
"CMF";206.578;0.0416;0.4957;Inf;0.1415;"Test";8
"NMF";274.935;0.0421;0.4956;0.0235;0.1408;"Test";8
"NNLM";152.5;0.0396;0.4954;0.0196;0.0466;"Test";8
"AIRWLS";122.275;0.0388;0.4953;0.0177;0.5009;"Test";8
"Newton";78.696;0.0387;0.4953;0.0179;0.4895;"Test";8
"C-SGD";43.882;0.0389;0.4953;0.0175;0.3618;"Test";8
"B-SGD";26.355;0.0388;0.4953;0.0174;0.3721;"Test";8
"glmPCA";631.482;0.0443;0.0115;0.0231;-0.0208;"Full";9
"NBWaVE";114.354;0.0395;0.0103;0.0168;0.4766;"Full";9
"CMF";216.012;0.0401;0.0104;0.0171;0.0071;"Full";9
"NMF";275.137;0.0411;0.0107;0.0183;0.0181;"Full";9
"NNLM";151.922;0.0395;0.0103;0.0163;0.0224;"Full";9
"AIRWLS";124.133;0.0384;0.01;0.0151;0.5078;"Full";9
"Newton";88.053;0.0384;0.01;0.0151;0.5019;"Full";9
"C-SGD";44.321;0.0383;0.01;0.0154;0.4848;"Full";9
"B-SGD";27.134;0.0378;0.0099;0.0155;0.442;"Full";9
"glmPCA";631.482;0.0442;0.1492;0.023;-0.0208;"Train";9
"NBWaVE";114.354;0.0393;0.1482;0.0167;0.4766;"Train";9
"CMF";216.012;0.04;0.1483;0.0165;0.0071;"Train";9
"NMF";275.137;0.041;0.1485;0.0179;0.0181;"Train";9
"NNLM";151.922;0.0394;0.1482;0.016;0.0224;"Train";9
"AIRWLS";124.133;0.0383;0.148;0.0147;0.5078;"Train";9
"Newton";88.053;0.0383;0.1479;0.0147;0.5019;"Train";9
"C-SGD";44.321;0.0381;0.1479;0.0152;0.4848;"Train";9
"B-SGD";27.134;0.0376;0.1478;0.0153;0.442;"Train";9
"glmPCA";631.482;0.0443;0.4966;0.0233;-0.0208;"Test";9
"NBWaVE";114.354;0.0401;0.4961;0.0172;0.4766;"Test";9
"CMF";216.012;0.0402;0.4962;0.0187;0.0071;"Test";9
"NMF";275.137;0.0413;0.4962;0.0192;0.0181;"Test";9
"NNLM";151.922;0.0396;0.4961;0.017;0.0224;"Test";9
"AIRWLS";124.133;0.0386;0.4959;0.0162;0.5078;"Test";9
"Newton";88.053;0.0386;0.4959;0.0163;0.5019;"Test";9
"C-SGD";44.321;0.0388;0.496;0.016;0.4848;"Test";9
"B-SGD";27.134;0.0386;0.496;0.016;0.442;"Test";9
"glmPCA";657.46;0.0422;0.012;0.023;-0.02;"Full";10
"NBWaVE";113.521;0.038;0.0109;0.0164;0.5075;"Full";10
"CMF";205.217;0.0385;0.0111;0.0173;-0.0106;"Full";10
"NMF";274.315;0.0396;0.0113;0.0184;0.0326;"Full";10
"NNLM";151.479;0.0376;0.0108;0.0156;-0.0217;"Full";10
"AIRWLS";133.216;0.0369;0.0106;0.0145;0.4526;"Full";10
"Newton";86.946;0.0368;0.0106;0.0146;0.4599;"Full";10
"C-SGD";44.23;0.0368;0.0106;0.015;0.4415;"Full";10
"B-SGD";27.311;0.0364;0.0105;0.0153;0.3966;"Full";10
"glmPCA";657.46;0.0422;0.1497;0.023;-0.02;"Train";10
"NBWaVE";113.521;0.0378;0.1487;0.0162;0.5075;"Train";10
"CMF";205.217;0.0384;0.1488;0.0163;-0.0106;"Train";10
"NMF";274.315;0.0396;0.1491;0.018;0.0326;"Train";10
"NNLM";151.479;0.0375;0.1486;0.0154;-0.0217;"Train";10
"AIRWLS";133.216;0.0368;0.1484;0.0142;0.4526;"Train";10
"Newton";86.946;0.0367;0.1484;0.0142;0.4599;"Train";10
"C-SGD";44.23;0.0366;0.1484;0.0148;0.4415;"Train";10
"B-SGD";27.311;0.0362;0.1483;0.0151;0.3966;"Train";10
"glmPCA";657.46;0.0422;0.497;0.0233;-0.02;"Test";10
"NBWaVE";113.521;0.0384;0.4964;0.0168;0.5075;"Test";10
"CMF";205.217;0.0386;0.4965;0.02;-0.0106;"Test";10
"NMF";274.315;0.0397;0.4966;0.0197;0.0326;"Test";10
"NNLM";151.479;0.0378;0.4964;0.0164;-0.0217;"Test";10
"AIRWLS";133.216;0.0371;0.4963;0.0156;0.4526;"Test";10
"Newton";86.946;0.037;0.4963;0.0158;0.4599;"Test";10
"C-SGD";44.23;0.0372;0.4963;0.0156;0.4415;"Test";10
"B-SGD";27.311;0.0371;0.4963;0.0158;0.3966;"Test";10
"glmPCA";621.792;0.0456;0.0116;0.023;-0.0108;"Full";11
"NBWaVE";113.365;0.041;0.0105;0.0162;0.4919;"Full";11
"CMF";207.034;0.0411;0.0106;0.0158;0.0772;"Full";11
