"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"NNLM";153.021;0.0409;0.4962;0.0173;0.0222;"Test";10
"AIRWLS";102.315;0.0399;0.4961;0.0165;0.4962;"Test";10
"Newton";86.176;0.0399;0.4961;0.0167;0.5002;"Test";10
"C-SGD";44.736;0.0398;0.4961;0.016;0.4981;"Test";10
"B-SGD";27.341;0.0397;0.4961;0.016;0.455;"Test";10
"glmPCA";634.267;0.0419;0.0105;0.0239;-0.0252;"Full";11
"NBWaVE";118.35;0.0379;0.0095;0.0168;0.4697;"Full";11
"CMF";197.91;0.0382;0.0096;0.017;0.0315;"Full";11
"NMF";NA;NA;NA;NA;NA;"Full";11
"NNLM";152.924;0.0377;0.0095;0.0162;0.0196;"Full";11
"AIRWLS";155.604;0.0369;0.0093;0.0149;0.4831;"Full";11
"Newton";84.86;0.0368;0.0093;0.015;0.5024;"Full";11
"C-SGD";44.22;0.0367;0.0092;0.0154;0.4152;"Full";11
"B-SGD";27.303;0.0364;0.0092;0.0155;0.3741;"Full";11
"glmPCA";634.267;0.0419;0.1483;0.0238;-0.0252;"Train";11
"NBWaVE";118.35;0.0377;0.1474;0.0167;0.4697;"Train";11
"CMF";197.91;0.0381;0.1475;0.0163;0.0315;"Train";11
"NMF";NA;NA;NA;NA;NA;"Train";11
"NNLM";152.924;0.0376;0.1474;0.0158;0.0196;"Train";11
"AIRWLS";155.604;0.0368;0.1472;0.0144;0.4831;"Train";11
"Newton";84.86;0.0368;0.1472;0.0144;0.5024;"Train";11
"C-SGD";44.22;0.0365;0.1471;0.0152;0.4152;"Train";11
"B-SGD";27.303;0.0361;0.1471;0.0153;0.3741;"Train";11
"glmPCA";634.267;0.0419;0.4963;0.0243;-0.0252;"Test";11
"NBWaVE";118.35;0.0383;0.4958;0.0173;0.4697;"Test";11
"CMF";197.91;0.0383;0.4959;0.0192;0.0315;"Test";11
"NMF";NA;NA;NA;NA;NA;"Test";11
"NNLM";152.924;0.0378;0.4958;0.0174;0.0196;"Test";11
"AIRWLS";155.604;0.037;0.4957;0.0165;0.4831;"Test";11
"Newton";84.86;0.037;0.4957;0.0167;0.5024;"Test";11
"C-SGD";44.22;0.0371;0.4957;0.0161;0.4152;"Test";11
"B-SGD";27.303;0.037;0.4957;0.0161;0.3741;"Test";11
"glmPCA";667.657;0.0435;0.0106;0.0247;-0.0136;"Full";12
"NBWaVE";118.47;0.0388;0.0095;0.018;0.4709;"Full";12
"CMF";212.189;0.0393;0.0096;0.0181;0.0163;"Full";12
"NMF";276.613;0.0404;0.0098;0.0194;-0.0027;"Full";12
"NNLM";153.31;0.0386;0.0094;0.0171;0.0224;"Full";12
"AIRWLS";160.085;0.0378;0.0093;0.0162;0.4464;"Full";12
"Newton";95.428;0.0378;0.0093;0.0163;0.395;"Full";12
"C-SGD";44.883;0.0375;0.0092;0.0165;0.469;"Full";12
"B-SGD";27.401;0.0372;0.0091;0.0165;0.4204;"Full";12
"glmPCA";667.657;0.0435;0.1483;0.0246;-0.0136;"Train";12
"NBWaVE";118.47;0.0387;0.1474;0.0178;0.4709;"Train";12
"CMF";212.189;0.0393;0.1475;0.0175;0.0163;"Train";12
"NMF";276.613;0.0404;0.1477;0.019;-0.0027;"Train";12
"NNLM";153.31;0.0385;0.1473;0.0169;0.0224;"Train";12
"AIRWLS";160.085;0.0377;0.1472;0.0157;0.4464;"Train";12
"Newton";95.428;0.0377;0.1472;0.0156;0.395;"Train";12
"C-SGD";44.883;0.0374;0.1471;0.0162;0.469;"Train";12
"B-SGD";27.401;0.0369;0.147;0.0164;0.4204;"Train";12
"glmPCA";667.657;0.0435;0.4964;0.025;-0.0136;"Test";12
"NBWaVE";118.47;0.0393;0.4959;0.0184;0.4709;"Test";12
"CMF";212.189;0.0394;0.4959;0.0199;0.0163;"Test";12
"NMF";276.613;0.0405;0.496;0.0204;-0.0027;"Test";12
"NNLM";153.31;0.0387;0.4958;0.018;0.0224;"Test";12
"AIRWLS";160.085;0.0379;0.4958;0.0178;0.4464;"Test";12
"Newton";95.428;0.038;0.4958;0.0183;0.395;"Test";12
"C-SGD";44.883;0.0379;0.4958;0.0171;0.469;"Test";12
"B-SGD";27.401;0.0378;0.4958;0.017;0.4204;"Test";12
"glmPCA";660.602;0.0451;0.0103;0.0234;-0.0172;"Full";13
"NBWaVE";120.212;0.0402;0.0092;0.0168;0.4932;"Full";13
